PlayerName,Span,Mat,Overs,Maiden,Runs,Wkts,BBI,Ave,Economy,SR,4s,5S
Faheem Ashraf,2018-2021,35,117.5,1,932,50,6/19,18.64,7.90,14.1,1,1
Wahab Riaz,2016-2021,59,218.5,0,1574,84,4/17,18.73,7.19,15.6,1,0
Imran Tahir,2018-2021,21,69.0,1,506,26,3/19,19.46,7.33,15.9,0,0
Mohammad Hasnain,2019-2021,21,78.5,1,655,33,4/25,19.84,8.30,14.3,2,0
Hasan Ali,2016-2021,49,181.1,1,1324,65,4/15,20.36,7.30,16.7,3,0
Shaheen Shah Afridi,2018-2021,31,114.3,3,881,43,5/4,20.48,7.69,15.9,1,1
SP Narine,2017-2018,17,66.0,0,411,20,3/28,20.55,6.22,19.8,0,0
Mohammad Sami,2016-2019,36,127.0,1,875,42,5/8,20.83,6.88,18.1,0,1
Umer Khan,2019-2020,17,51.0,0,397,19,3/22,20.89,7.78,16.1,0,0
TS Mills,2017-2020,22,78.3,0,612,28,3/20,21.85,7.79,16.8,0,0
Mohammad Ilyas,2019-2021,19,49.4,0,426,19,3/27,22.42,8.57,15.6,0,0
SR Patel,2018-2021,33,89.0,1,667,29,4/5,23.00,7.49,18.4,2,0
AD Russell,2016-2019,18,55.2,0,483,21,3/18,23.00,8.72,15.8,0,0
Mohammad Asghar,2016-2018,21,63.4,1,489,21,3/16,23.28,7.68,18.1,0,0
Rahat Ali,2018-2020,28,102.2,0,800,34,4/16,23.52,7.81,18.0,2,0
Rumman Raees,2016-2020,32,110.0,0,818,34,4/25,24.05,7.43,19.4,1,0
CJ Jordan,2017-2020,22,77.0,0,610,25,3/26,24.40,7.92,18.4,0,0
Shahid Afridi,2016-2021,50,161.4,5,1127,44,5/7,25.61,6.97,22.0,0,1
RS Bopara,2016-2021,39,45.0,0,393,15,6/16,26.20,8.73,18.0,0,1
Mohammad Amir,2016-2021,53,194.4,6,1404,53,4/25,26.49,7.21,22.0,2,0
SR Watson,2016-2020,46,74.0,0,612,23,4/44,26.60,8.27,19.3,1,0
Yasir Shah,2017-2020,27,95.1,0,692,26,4/7,26.61,7.27,21.9,1,0
Sohail Tanvir,2016-2021,48,166.5,2,1285,48,4/13,26.77,7.70,20.8,2,0
Mohammad Irfan,2017-2019,21,63.0,0,589,22,3/26,26.77,9.34,17.1,0,0
Mohammad Nawaz,2016-2021,57,188.4,1,1348,50,4/13,26.96,7.14,22.6,1,0
Haris Rauf,2019-2021,21,77.2,0,680,25,4/23,27.20,8.79,18.5,1,0
Usman Shinwari,2017-2021,34,112.0,0,1011,37,4/15,27.32,9.02,18.1,2,0
Sohail Khan,2016-2021,37,130.0,1,1118,39,3/23,28.66,8.60,20.0,0,0
Sameen Gul,2018-2019,15,55.0,0,459,16,3/29,28.68,8.34,20.6,0,0
Amad Butt,2017-2021,18,47.2,0,463,16,4/27,28.93,9.78,17.7,1,0
Umaid Asif,2018-2021,29,108.3,0,852,29,4/23,29.37,7.85,22.4,1,0
Hassan Khan,2017-2019,23,63.4,0,444,15,2/10,29.60,6.97,25.4,0,0
Shadab Khan,2017-2021,45,158.4,0,1156,39,3/13,29.64,7.28,24.4,0,0
Mohammad Hafeez,2016-2021,52,44.1,1,297,10,2/7,29.70,6.72,26.5,0,0
Junaid Khan,2016-2020,27,92.0,1,780,26,3/24,30.00,8.47,21.2,0,0
Usama Mir,2016-2020,20,65.5,0,557,18,3/24,30.94,8.46,21.9,0,0
D Wiese,2018-2021,23,68.0,0,591,19,3/27,31.10,8.69,21.4,0,0
Fawad Ahmed,2019-2021,18,68.5,0,503,16,3/15,31.43,7.30,25.8,0,0
Mohammad Irfan,2016-2021,44,157.0,3,1120,35,3/22,32.00,7.13,26.9,0,0
Muhammad Musa,2019-2021,15,49.4,2,461,14,3/25,32.92,9.28,21.2,0,0
Zulfiqar Babar,2016-2017,18,72.0,2,499,15,2/17,33.26,6.93,28.8,0,0
Aamer Yamin,2016-2021,21,61.1,1,510,15,3/17,34.00,8.33,24.4,0,0
Imad Wasim,2016-2021,53,158.3,0,1105,32,3/18,34.53,6.97,29.7,0,0
KA Pollard,2017-2019,33,42.4,0,374,10,3/37,37.40,8.76,25.6,0,0
DJ Bravo,2016-2019,14,51.0,0,425,11,3/19,38.63,8.33,27.8,0,0
Anwar Ali,2016-2021,36,102.1,1,893,23,2/21,38.82,8.74,26.6,0,0
LA Dawson,2018-2020,24,57.0,1,462,11,3/17,42.00,8.10,31.0,0,0
Shoaib Malik,2016-2021,53,56.0,0,405,7,2/21,57.85,7.23,48.0,0,0
